S No ,Medicine name,Salt Code,Salt name,Product ID,Product ID to be shown as Alternative,Note if same,Image link,Brand,MRP,Selling price,Discount,MRP of cheapest ,Savings ,Cheapest,Buy now button URL,Prescription required,Top Selling,Category,Sub Category,Packaging,Description,Storage,Side Effects,Precautions,Brand Code,Manufacturer address,Marketed by,Intro,Uses,Directions,Conten 4,Conten 5,Conten 6
149211,Oxybro Plus 200/10 MG Tablet Sr 10,36,ACEBROPHYLLINE (200 MG) + MONTELUKAST (10 MG),A149211,A164130,,https://url.mcro.site/cache/plugins/filepreviewer/20618/48cccf0e1478e170af41420a03c66eeeb13530148f65ac014f578a5ecc5ea938/280x280_middle.jpg,Cadila Pharmaceuticals Ltd,164,131.2,20%,79.3,52%,No,Hi. Look Oxybro Plus 200/10 MG Tablet Sr 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,342,,Cadila Pharmaceuticals Ltd,,,,d,e,f
103208,Albro M 200/10 MG Tablet 10,36,ACEBROPHYLLINE (200 MG) + MONTELUKAST (10 MG),A103208,A164130,,,Allenge India,165,132,20%,79.3,52%,No,Hi. Look Albro M 200/10 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,13,"Plot No. 249, Daksh House, Industrial Area Phase -II, Panchkula, Haryana 13419",Allenge India,,,,d,e,f
100989,Acethama M 200/10 MG Tablet Sr 10,36,ACEBROPHYLLINE (200 MG) + MONTELUKAST (10 MG),A100989,A164130,,,Care Formulation Labs Pvt. Ltd.,171,136.8,20%,79.3,54%,No,Hi. Look Acethama M 200/10 MG Tablet Sr 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,357,,Care Formulation Labs Pvt. Ltd.,,,,d,e,f
128425,Ergomont A 200/10 MG Tablet 10,36,ACEBROPHYLLINE (200 MG) + MONTELUKAST (10 MG),A128425,A164130,,https://url.mcro.site/cache/plugins/filepreviewer/12517/d84d0a74b989278394bd8c4c1d7cbb9fdd84f75b38157b0ddbbd26c87343092c/280x280_middle.jpg,Ergos Life Sciences,177,141.6,20%,79.3,55%,No,Hi. Look Ergomont A 200/10 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,"How Ergomont A 2/1 MG Tablet 1 Works
 
Ergomont A 2mg/1mg Tablet contains the active ingredients acebrophylline and montelukast. Acebrophylline has mucolytic properties. It thins and loosens mucus (phlegm), making coughing easier. Montelukast is an anti-leukotriene drug. It operates by inhibiting the function of a chemical messenger called leukotriene. This helps to avoid asthma and allergy symptoms by reducing inflammation in the airways and nose.",,"Side effects of Ergomont A 2/1 MG Tablet 1
 
The majority of side effects are minor and will go away as your body adjusts to Ergomont A 2mg/1mg Tablet. If they don't go away or you're concerned about them, see your doctor.
Adverse effects of Ergomont A 2mg/1mg Tablet
Vomiting,
Heartburn,
Stomach pain,
Rash,
Itching,
Hives,
Drowsiness,
Breathing problems,
Increased white blood cell count,
Nasal inflammation,
Flu-like symptoms",,59,"B-71, Western Edge 2 Cooperative Housing Society, Off Western Express Highway, Behind Metro Cash And Carry, Borivali East, Mumbai, Maharashtra 466",Ergos Life Sciences,"About Ergomont A 2/1 MG Tablet 1
 
Ergomont A 2mg/1mg Tablet is used in treatment and prevention of asthma and chronic obstructive pulmonary disease (COPD). It could also assist with allergy symptoms such a stuffy nose, sneezing, watery eyes, congestion, or stuffiness. It aids in the relaxation of the muscles of the air passageways, making breathing easier.
Ergomont A 2mg/1mg Tablet is taken with or without food, according to the doctor's instructions. The dose you receive will be determined by your medical condition and how you react to the medicine. You should continue to take this medicine for as long as your doctor advises. If you stop taking your medicine too soon, your symptoms may return and your condition may deteriorate. Tell your doctor about all other medicines you're taking, as some may interact with or be affected by this one.","Uses of Ergomont A 2/1 MG Tablet 1
 
Ergomont A 2mg/1mg Tablet is used in treatment of and prevention of Asthma
Treatment and prevention of Chronic obstructive pulmonary disease (COPD)
Treatment of Sneezing and runny nose due to allergies","Directions to use Ergomont A 2/1 MG Tablet 1
 
Follow your doctor's instructions on the dosage and duration of Ergomont A 2mg/1mg Tablet. Take it all in at once. It should not be chewed, crushed, or broken. Ergomont A 2mg/1mg Tablet can be taken with or without food, however it's best if you take it at the same time every day.",d,e,f
138075,Lasma Ab Tablet 10,36,ACEBROPHYLLINE (200 MG) + MONTELUKAST (10 MG),A138075,A164130,,https://url.mcro.site/cache/plugins/filepreviewer/16460/3ddb4c5053cb0270b3e06dbea75388d03f4cafb70cee5f056de6cb634fda244a/280x280_middle.jpg,Apex Laboratories Ltd.,179.1,143.28,20%,79.3,56%,No,Hi. Look Lasma Ab Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,"How Lasma Ab Tablet 1 Works
 
Lasma AB 2mg/1mg Tablet contains acebrophylline and montelukast, two medicines. Acebrophylline has mucolytic properties. It thins and loosens mucus (phlegm), making coughing easier. Montelukast is an anti-leukotriene drug. It operates by inhibiting the function of a chemical messenger called leukotriene. This helps to avoid asthma and allergy symptoms by reducing inflammation in the airways and nose.",,"Side effects of Lasma Ab Tablet 1
 
The majority of side effects are minor and will go away as your body adjusts to the medicine. If they don't go away or you're concerned about them, see your doctor.
Adverse Effects of Lasma AB Tablet 
Vomiting, 
Heartburn, 
Stomach pain, 
Rash, 
Itching, 
Hives, 
Drowsiness, 
Breathing problems",,16,"3RD FLOOR, SIDCO GARMENT COMPLEX GUINDY CHENNAI TAMIL NADU INDIA 632",Apex Laboratories Ltd.,"About Lasma Ab Tablet 1
 
Lasma AB 2mg/1mg Tablet is used to treat and prevent asthma and chronic obstructive pulmonary disease (COPD) (COPD). It could also assist with allergy symptoms such a stuffy nose, sneezing, watery eyes, congestion, or stuffiness. It aids in the relaxation of the muscles of the air passageways, making breathing easier.
Lasma AB 2mg/1mg Tablet is taken with or without food, according to the doctor instructions. The dose you receive will be determined by your medical condition and how you react to the medicine. You should continue to take this medicine for as long as your doctor advises. If you stop taking your medicine too soon, your symptoms may return and your condition may deteriorate. Tell your doctor about all other medicines you're taking, as some may interact with or be affected by this one.","Uses of Lasma Ab Tablet 1
 
Lasma AB Tablet is used in the treatment and prevention of Asthma 
Treatment and prevention of Chronic obstructive pulmonary disease (COPD) 
Treatment of Sneezing and runny nose due to allergies","Directions to use Lasma Ab Tablet 1
 
Follow your doctor instructions on the dosage and duration of Lasma AB Tablet. Take it all in at once. It should not be chewed, crushed, or broken. Lasma AB 2mg/1mg Tablet can be taken with or without food, however it is best if you take it at the same time every day.",d,e,f
100311,Abiways M 10/200 MG Tablet 10,36,ACEBROPHYLLINE (200 MG) + MONTELUKAST (10 MG),A100311,A164130,,,Mankind Pharmaceuticals Ltd.,200,160,20%,79.3,60%,No,Hi. Look Abiways M 10/200 MG Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,765,,Mankind Pharmaceuticals Ltd.,,,,d,e,f
157857,Spiromont A 200/10 MG Tablet Pr 10,36,ACEBROPHYLLINE (200 MG) + MONTELUKAST (10 MG),A157857,A164130,,https://url.mcro.site/cache/plugins/filepreviewer/23910/3f30cccfceb16ba8173238e7a8fd12cf1ccca42efbe95cf5fe9fee4ecac0e411/280x280_middle.jpg,Koye Pharmaceuticals Pvt. Ltd.,202,161.6,20%,79.3,61%,No,Hi. Look Spiromont A 200/10 MG Tablet Pr 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,77,,Koye Pharmaceuticals Pvt. Ltd.,,,,d,e,f
107280,Arophyll M 200/10 MG Tablet Sr 10,36,ACEBROPHYLLINE (200 MG) + MONTELUKAST (10 MG),A107280,A164130,,,Aareen Healthcare Pvt Ltd,206,164.8,20%,79.3,62%,No,Hi. Look Arophyll M 200/10 MG Tablet Sr 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,11,"Monarch Plaza, 17, First Floor, Sector 11, CBD Belapur, Navi Mumbai, Maharashtra 4614",Aareen Healthcare Pvt Ltd,,,,d,e,f
146737,Nukast Ab Tablet Sr 10,36,ACEBROPHYLLINE (200 MG) + MONTELUKAST (10 MG),A146737,A164130,,,Zuventus Healthcare Ltd,247.25,197.8,20%,79.3,68%,No,Hi. Look Nukast Ab Tablet Sr 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,138,"Oberoi Garden Estate, Sakinaka, Andheri East, Chandivali Rd, Powai, Mumbai, Maharashtra 472",Zuventus Healthcare Ltd,,,,d,e,f
132449,Glemont A 200/10 MG Tablet Sr 10,36,ACEBROPHYLLINE (200 MG) + MONTELUKAST (10 MG),A132449,A164130,,https://url.mcro.site/cache/plugins/filepreviewer/13980/37c4561542931f17d7a8ef6448a26a0ceb7d98f115f5fa0915c45e0ad7ae5104/280x280_middle.jpg,Glenmark Pharmaceuticals Ltd.,249,199.2,20%,79.3,68%,No,Hi. Look Glemont A 200/10 MG Tablet Sr 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,"How Glemont A 2/1 MG Tablet Sr 1 Works
 
Glemont A tablet contains Acebrophylline and montelukast. Acebrophylline has mucolytic properties. It thins and loosens mucus (phlegm), making coughing easier. Montelukast is an anti-leukotriene drug. It operates by inhibiting the function of a chemical messenger called leukotriene. This helps to avoid asthma and allergy symptoms by reducing inflammation in the airways and nose.",,"Side effects of Glemont A 2/1 MG Tablet Sr 1
 
The majority of side effects are minor and will go away as your body adjusts to the medicine. If they don't go away or you're concerned about them, see your doctor.
Adverse effects of Glemont A
Vomiting 
Heartburn 
Stomach pain 
Rash 
Itching 
Hives 
Drowsines",,571,"Glenmark House, HDO-Corporate Building, Wing-A, B.D. Sawant Marg, Chakala Off. Western Express Highway, Andheri (East), Mumbai​, Maharashtra, 499 India",Glenmark Pharmaceuticals Ltd.,"About Glemont A 2/1 MG Tablet Sr 1
 
Glemont-A Tablet SR is used to prevent and treat asthma and COPD (COPD). It could also assist with allergy symptoms such a stuffy nose, sneezing, watery eyes, congestion, or stuffiness. It aids in the relaxation of the muscles of the air passageways, making breathing easier.
Glemont-A Tablet SR is taken with or without food, according to the doctor's instructions. The dose you receive will be determined by your medical condition and how you react to the medicine. You should continue to take this medicine for as long as your doctor advises. If you stop taking your medicine too soon, your symptoms may return and your condition may deteriorate. Tell your doctor about all other medicine you're taking, as some may interact with or be affected by this one.","Uses of Glemont A 2/1 MG Tablet Sr 1
 
Glemont A is used in treatment and prevention of Asthma
Treatment and prevention of Chronic obstructive pulmonary disease (COPD)
Treatment of Sneezing and runny nose due to allergies","Directions to use Glemont A 2/1 MG Tablet Sr 1
 
Follow your doctor's instructions on the dosage and duration of this medicine. Take it all in at once. It should not be chewed, crushed, or broken. Glemont-A Tablet SR can be taken with or without food, however it is best if you take it at the same time every day.",d,e,f
143330,Montair Ab Tablet 10,36,ACEBROPHYLLINE (200 MG) + MONTELUKAST (10 MG),A143330,A164130,,https://url.mcro.site/cache/plugins/filepreviewer/18471/55bbbbb1968e642c280c608d33969cdf12f82e5dee2e2040e719838fcc4eb215/280x280_middle.jpg,Cipla Ltd.,275.51,220.41,20%,79.3,71%,No,Hi. Look Montair Ab Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,384,"Cipla House, Peninsula Business Park, Ganpatrao Kadam Marg, Lower Parel, Mumbai-413",Cipla Ltd.,,,,d,e,f
143370,Montek Ab 200/10 MG Tablet Sr 10,36,ACEBROPHYLLINE (200 MG) + MONTELUKAST (10 MG),A143370,A164130,,https://url.mcro.site/cache/plugins/filepreviewer/18494/466833a99d6bca657af6c7dd842377564e2ff75f760a1c891987c483461013a8/280x280_middle.jpg,Sun Pharma Laboratories Ltd.,281,224.8,20%,79.3,72%,No,Hi. Look Montek Ab 200/10 MG Tablet Sr 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,"How Montek Ab 2/1 MG Tablet Sr 1 Works
 
Montek AB Tablet contains the following components:
Acebrophylline (SR) (2 mg):
 It is an airway mucoregulator and an anti-inflammatory agent that reduces mucus production in the airways, which helps clear the lungs and alleviate symptoms like coughing and shortness of breath.
Montelukast (1 mg):
 It is a leukotriene receptor antagonist. It blocks the action of chemicals called leukotrienes, which are responsible for inflammation and narrowing of the airways. By inhibiting these chemicals, montelukast helps to reduce swelling and constriction in the air passages, leading to improved breathing and provides relief in symptoms of asthma, rhinitis and exercise-induced bronchoconstriction.",,"Side effects of Montek Ab 2/1 MG Tablet Sr 1
 
The common side effects of Montek AB Tablet include:
Stomach pain 
Vomiting
Nausea
Sleepiness
Headache
Restlessnes",,1136,"SUN HOUSE CTS No. 21, 21, Western Express Hwy, Ram Nagar, Goregaon, Mumbai, Maharashtra 463",Sun Pharma Laboratories Ltd.,"About Montek Ab 2/1 MG Tablet Sr 1
 
Montek AB Tablet is a combination medicine falling under the anti-asthmatic drugs category. It is prescribed for managing asthma and allergic rhinitis.
Furthermore, this medication can be employed in the treatment of airway inflammation, like in cases of bronchitis, and it may alleviate symptoms of seasonal allergic rhinitis in individuals with asthma. These symptoms include nasal congestion, frequent sneezing, itching, or irritated and watery eyes.
Before using the Montek AB Tablet, you must notify your doctor if you have any pre-existing liver, kidney, or heart conditions. Additionally, inform your doctor if you have a history of seizures, stomach ulcers, viral infections, hypertension, or hyperthyroidism. This information helps your doctor assess your medical history comprehensively and make informed decisions about your treatment, ensuring your safety and well-being during your medication.","Uses of Montek Ab 2/1 MG Tablet Sr 1
 
The Montek AB Tablet is used in the treatment of:
Asthma
Exercise-induced bronchoconstriction
Seasonal allergic rhinitis 
Recurring allergic rhinitis","Directions to use Montek Ab 2/1 MG Tablet Sr 1
 
Take the entire tablet without crushing or breaking it. 
You can consume it with or without food, but it's advisable to take it at the same time each day for optimal effects.",d,e,f
159778,Telekast A 200/10 MG Tablet Pr 10,36,ACEBROPHYLLINE (200 MG) + MONTELUKAST (10 MG),A159778,A164130,,https://url.mcro.site/cache/plugins/filepreviewer/24627/2706c79d1b6e2c401bde197c1aaa532e295b0d2ac53f6a3a6b38f33f9f8166ac/280x280_middle.jpg,Lupin Ltd,289.05,231.24,20%,79.3,73%,No,Hi. Look Telekast A 200/10 MG Tablet Pr 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,744,,Lupin Ltd,,,,d,e,f
154098,Resebron 50 MG Syrup 60 ML,37,ACEBROPHYLLINE (50 MG),A154098,A154098,This is already the recommended alternative,,Invision Medi Sciences,52.5,42,20%,42,20%,Yes,Hi. Look Resebron 50 MG Syrup 60 ML is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,66,"3rd Floor, No. 194/31/2/74-75, Begur Sub Zone, Behind Metro Wholesale, Beretena Agrahara, Bengaluru Bangalore - 561 Karnataka - India",Invision Medi Sciences,,,,d,e,f
106534,Aphyl 50 MG Syrup 100 ML,37,ACEBROPHYLLINE (50 MG),A106534,A154098,,,Franco Indian Pharmaceuticals Pvt Ltd,85,68,20%,42,51%,No,Hi. Look Aphyl 50 MG Syrup 100 ML is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,544,"2, Dr. E. Moses Road, Mahalaxmi, Mumbai, Maharashtra 411",Franco Indian Pharmaceuticals Pvt Ltd,,,,d,e,f
119149,Cibromeg 50 MG Syrup 100 ML,37,ACEBROPHYLLINE (50 MG),A119149,A154098,,,Ridhima Biocare,85,68,20%,42,51%,No,Hi. Look Cibromeg 50 MG Syrup 100 ML is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,124,"SCO-3, Cabin No 1, First Floor, Preet Complex, Sector 12-A, Rally, Panchkula,13419, Haryana, India",Ridhima Biocare,,,,d,e,f
100383,Abrofyl 50 MG Syrup 100 ML,37,ACEBROPHYLLINE (50 MG),A100383,A154098,,,Alkem Laboratories Ltd.,89.5,71.6,20%,42,53%,No,Hi. Look Abrofyl 50 MG Syrup 100 ML is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,99,"Alkem House, Senapati Bapat Marg, Lower Parel, Mumbai Maharashtra- 413",Alkem Laboratories Ltd.,,,,d,e,f
100654,Aceday 50 MG Syrup 100 ML,37,ACEBROPHYLLINE (50 MG),A100654,A154098,,,Intra Life,90,72,20%,42,53%,No,Hi. Look Aceday 50 MG Syrup 100 ML is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,659,,Intra Life,,,,d,e,f
107628,Ascovent 50 MG Syrup 100 ML,37,ACEBROPHYLLINE (50 MG),A107628,A154098,,,Glenmark Pharmaceuticals Ltd.,101.71,81.37,20%,42,59%,No,Hi. Look Ascovent 50 MG Syrup 100 ML is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,571,"Glenmark House, HDO-Corporate Building, Wing-A, B.D. Sawant Marg, Chakala Off. Western Express Highway, Andheri (East), Mumbai​, Maharashtra, 499 India",Glenmark Pharmaceuticals Ltd.,,,,d,e,f
101115,Acibro 50 MG Syrup 100 ML,37,ACEBROPHYLLINE (50 MG),A101115,A154098,,,Synokem Pharmaceuticals Ltd,106.7,85.36,20%,42,61%,No,Hi. Look Acibro 50 MG Syrup 100 ML is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,1163,"Plot no: 56,57, Sector 6A, IIE, SIDCUL, Ranipur, Haridwar, 24943",Synokem Pharmaceuticals Ltd,,,,d,e,f
104685,Ambrodil Xp 50 MG Syrup 100 ML,37,ACEBROPHYLLINE (50 MG),A104685,A154098,,https://url.mcro.site/cache/plugins/filepreviewer/7124/c487af0568e5248e4362fa3a49db89c1d2cdad27ab1bca9324c0ac85e875651b/280x280_middle.jpg,Aristo Pharmaceuticals Pvt.ltd,118.2,94.56,20%,42,64%,No,Hi. Look Ambrodil Xp 50 MG Syrup 100 ML is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,179,,Aristo Pharmaceuticals Pvt.ltd,,,,d,e,f
140612,Macphylline 50 MG Syrup 100 ML,37,ACEBROPHYLLINE (50 MG),A140612,A154098,,https://url.mcro.site/cache/plugins/filepreviewer/17447/02842356e28dd660fe25b9e4676d042ad168b7e6de532ce363b3da65d67aa79c/280x280_middle.jpg,Macleods Pharmaceuticals Pvt.ltd,154,123.2,20%,42,73%,No,Hi. Look Macphylline 50 MG Syrup 100 ML is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,"How Macphylline 5 MG Syrup 1 ML Works
 
Macphylline Syrup is a bronchodilator and mucolytic. It works by relaxing airway muscles and thinning and loosening mucus, making breathing easier.",,"Side effects of Macphylline 5 MG Syrup 1 ML
 
The majority of side effects are minor and will go away as your body adjusts to the medicine. If they don't go away or you're worried about them, see your doctor.
Adverse effects side effects ofvMacphylline Syrup
Nausea
Headache
Vomiting
Upset stomach
Restlessnes",,752,"Atlanta Arcade, Marol Church Rd, Bori Colony, Vijay Nagar Colony West, Marol, Andheri East, Mumbai, Maharashtra 459",Macleods Pharmaceuticals Pvt.ltd,"About Macphylline 5 MG Syrup 1 ML
 
Macphylline Asthma and chronic obstructive pulmonary disease (COPD) are treated and prevented using syrup (a lung disorder in which flow of air to the lung is blocked). It works by relaxing the muscles in the air passageways, expanding them and making breathing easier
Macphylline 5mg/5ml Syrup can be taken with food. To receive the best benefit, take it at the same time every day. What you take it for determines the dose and frequency with which you take it. Your doctor will determine how much improvement you require. You should take this medicine for the entire time that it has been recommended for you. Do not miss a single dose; if you do, take it as soon as you remember or, better yet, ignore the missing dose and continue with your usual dosing schedule. It does not function instantly or prevent previously existing breathing problems, so keep your medical inhaler on hand in case of an emergency.","Uses of Macphylline 5 MG Syrup 1 ML
 
Macphylline Syrup is used in the treatment of Asthma
Chronic obstructive pulmonary disease (COPD)","Directions to use Macphylline 5 MG Syrup 1 ML
 
Follow your doctor's instructions on the dosage and duration of this medicine. Before using, read the directions on the label. Before using, give it a good shake. Macphylline  Syrup should be consumed after a meal",d,e,f
164131,Venphylin Plus Syrup 100 ML,38,ACEBROPHYLLINE (50 MG) + GUAIFENESIN (50 MG) + TERBUTALINE (1.25 MG),A164131,A164131,This is already the recommended alternative,https://url.mcro.site/cache/plugins/filepreviewer/26394/2453dd71359796a590ae35f084d75fa73ff280ac61cc3b3e9bfd9ac8e5b14df0/280x280_middle.jpg,Leeford Healthcare,120,60,50%,60,50%,Yes,Hi. Look Venphylin Plus Syrup 100 ML is available at 50% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,"How Venphylin Plus Syrup 1 ML Works
 
Venphylin Plus Syrup is a combination of three drugs that relieves cough with mucus: Terbutaline, Acebrophylline, and Guaifenesin. A bronchodilator, terbutaline is used to open up the airways. It works by relaxing and widening the muscles in the airways. Acebrophylline is a mucolytic, meaning it thins and loosens mucus (phlegm) to make coughing easier. Guaifenesin is an expectorant that helps to remove mucus (phlegm) from the airways by reducing its stickiness. They make breathing easier when used together.",,"Side effects of Venphylin Plus Syrup 1 ML
 
The majority of side effects are minor and will go away as your body adjusts to the medicine. If they don't go away or you're concerned about them, see your doctor.
Adverse effects of Venphylin Plus
Nausea
Diarrhea
Vomiting
Stomach pain
Loss of appetite
Constipation
Heartburn
Increased heart rate
Dizziness
Headache
Rash
Hives
Itching
Drowsiness
Tremor
Breathing problems
Increased white blood cell count
Nasal inflammatio",,725,"Leo House, Shaheed Bhagat Singh Nagar, Dugri Dhandra Road, Near Joseph School Ludhiana PB 1412 IN",Leeford Healthcare,"About Venphylin Plus Syrup 1 ML
 
Venphylin Plus Syrup is used to treat cough. It thins mucus in the nose, windpipe, and lungs to make coughing easier. Runny nose, sneezing, itching, and watery eyes are also relieved.
Venphylin Plus Syrup is taken with food, according to the doctor's instructions. The dose you receive will be determined by your medical condition and how you react to the medicine. You should continue to take this medicine for as long as your doctor advises. If you stop taking your medicine too soon, your symptoms may return and your condition may deteriorate. Tell your doctor about all other medicine you're taking, as some may interact with or be affected by this one.","Uses of Venphylin Plus Syrup 1 ML
 
Venphylin Plus syrup is used in treatment of Cough with mucus","Directions to use Venphylin Plus Syrup 1 ML
 
Follow your doctor's instructions on the dosage and duration of this medicine. Before using, read the directions on the label. Before using, give it a good shake. Venphylin Plus Syrup can be taken with food, but it is best if you take it at the same time every day.",d,e,f
154595,Rimtus 1.25/50/50 MG Syrup 100 ML,38,ACEBROPHYLLINE (50 MG) + GUAIFENESIN (50 MG) + TERBUTALINE (1.25 MG),A154595,A164131,,,Embiotic Lab,90,72,20%,60,33%,No,Hi. Look Rimtus 1.25/50/50 MG Syrup 100 ML is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,496,,Embiotic Lab,,,,d,e,f
128736,E-tag 1.25/50/50 MG Syrup 100 ML,38,ACEBROPHYLLINE (50 MG) + GUAIFENESIN (50 MG) + TERBUTALINE (1.25 MG),A128736,A164131,,,Koye Pharmaceuticals Pvt. Ltd.,127,101.6,20%,60,53%,No,Hi. Look E-tag 1.25/50/50 MG Syrup 100 ML is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,77,"A-1, 3rd Floor, Art Guild House, Phoenix Market City Annexe, Lal Bahadur Shastri Rd, Mumbai, 47",Koye Pharmaceuticals Pvt. Ltd.,,,,d,e,f
100587,Acebran Br 1.25/50/50 MG Syrup 100 ML,38,ACEBROPHYLLINE (50 MG) + GUAIFENESIN (50 MG) + TERBUTALINE (1.25 MG),A100587,A164131,,,Ikon Remedies Pvt Ltd,135,108,20%,60,56%,No,Hi. Look Acebran Br 1.25/50/50 MG Syrup 100 ML is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,63,,Ikon Remedies Pvt Ltd,,,,d,e,f
153274,Rapitus Xt Syrup 100 ML,38,ACEBROPHYLLINE (50 MG) + GUAIFENESIN (50 MG) + TERBUTALINE (1.25 MG),A153274,A164131,,https://url.mcro.site/cache/plugins/filepreviewer/22148/8326cdf176d3c36e81a3090c0efb941aae63d131bd907a6fd218dc047773ae9d/280x280_middle.jpg,Macleods Pharmaceuticals Pvt.ltd,140,112,20%,60,57%,No,Hi. Look Rapitus Xt Syrup 100 ML is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,"How Rapitus Xt Syrup 1 ML Works
 
Rapitus XT Syrup is a combination of three drugs that relieves cough with mucus: Terbutaline, Acebrophylline, and Guaifenesin. A bronchodilator, terbutaline is used to open up the airways. It works by relaxing and widening the muscles in the airways. Acebrophylline is a mucolytic, meaning it thins and loosens mucus (phlegm) to make coughing easier. Guaifenesin is an expectorant that helps to remove mucus (phlegm) from the airways by reducing its stickiness. They make breathing easier when used together.",,"Side effects of Rapitus Xt Syrup 1 ML
 
The majority of side effects are minor and will go away as your body adjusts to the medicine. If they don't go away or you're concerned about them, see your doctor.
Adverse Effects of Rapitus XT Syrup 
Nausea, 
Diarrhea, 
Vomiting, 
Stomach pain, 
Loss of appetite, 
Constipation, 
Heartburn, 
Increased heart rate, 
Dizziness, 
Headache",,752,"Atlanta Arcade, Marol Church Rd, Bori Colony, Vijay Nagar Colony West, Marol, Andheri East, Mumbai, Maharashtra 459",Macleods Pharmaceuticals Pvt.ltd,"About Rapitus Xt Syrup 1 ML
 
Rapitus XT Syrup is a combination drug used to treat mucus-producing cough. It thins mucus in the nose, windpipe, and lungs to make coughing easier. Runny nose, sneezing, itching, and watery eyes are also relieved.
Rapitus XT Syrup is taken with or without food, according to the doctor's instructions. The dose you receive will be determined by your medical condition and how you react to the medicine. You should continue to take this medicine for as long as your doctor advises. If you stop taking your medicine too soon, your symptoms may return and your condition may deteriorate. Tell your doctor about all other drugs you are taking, since some may interact with or be affected by this one.","Uses of Rapitus Xt Syrup 1 ML
 
Rapitus XT Syrup is used in the treatment of Cough with mucus","Directions to use Rapitus Xt Syrup 1 ML
 
Follow your doctor's instructions on the dosage and duration of Rapitus XT Syrup. Before using, read the directions on the label. Take it orally after measuring it. Before using, give it a good shake. Rapitus XT Syrup can be taken with or without food, however it is best if you take it at the same time every day.",d,e,f
113758,Briovent 12.5/50/50 MG Syrup 100 ML,39,ACEBROPHYLLINE (50 MG) + GUAIFENESIN (50 MG) + TERBUTALINE (12.5 MG),A113758,A113758,This is already the recommended alternative,,Brio Bliss Life Science Pvt.ltd,99,79.2,20%,79.2,20%,Yes,Hi. Look Briovent 12.5/50/50 MG Syrup 100 ML is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,329,,Brio Bliss Life Science Pvt.ltd,,,,d,e,f
149218,Oxydex Sugar Free Syrup 60 ML,40,ACEBROPHYLLINE (50 MG) + MENTHOL (2.5 MG) + TERBUTALINE (1.25 MG),A149218,A149218,This is already the recommended alternative,,Apex Laboratories Ltd.,90,72,20%,72,20%,Yes,Hi. Look Oxydex Sugar Free Syrup 60 ML is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,16,,Apex Laboratories Ltd.,,,,d,e,f
